,'"'
e.i. 20 (quantity only),ej. 20 (solo cantidad)
Loading orthophoto,Cargando ortofotos
Precipitation (last hour),Precipitación (última hora)
Projections,Proyecciones
fieldplan cropBlocks,
 Fields selected., Campos seleccionados
Select a name for your Season Plan,Selecciona un nombre para tu plan de temporada
PurchaseOrder is canceled,La orden ha sido cancelada
Please add crop,Agrega un cultivo
Completed blocks,Parcelas completadas
Something is wrong', please try later.,
e.i. 100 (quantiy only),
Block:,Parcela:
Equipment,Equipo
State,Estado
categoriesname,
Cost per hour,Costo por hora
No perimeters to edit,No hay perímetros para editar
No records,Sin registros
Add sale,Agregar venta
Removing filed plan from field,Eliminando plan archivado del campo
Deleted,Registro borrado
Demo request inputs are required.,Los datos de solicitud de demo son obligatorios
Are you sure you want to delete this projection?,¿Está seguro de quere borrar esta proyección?
Job detail,Detalles del trabajo
Harvest Records,Registro de cosecha
Successfully created,
No products added,
GO TO PROJECT,IR AL PROYECTO
Select an employee,Seleciona un empleado
cropclass by fieldPlan,
BLOCKS,PARCELAS
e.i. Premium local,ej. Premium local
Unauthorized,Acceso denegado
Soil temperature,Temperatura del suelo
No data,
All Scout Categories,Todas las Categorías de exploración
Zoom,Zoom
here,aquí
Status:,Estatus:
EquipmentPurchaseOrder is canceled,
Successfully get field plan,Plan de Campos obtenido con éxito
Machinery,Maquinaria
ID Project must be an integer,Indentificador del proyecto debe ser un numero entero
Agrosuite: Select a project,Agrosuite: Seleccione un proyecto
Labor payroll summary,Resumen del pago de labores
Total cost,Costo total
Map View,Mapa
Concept,Concepto
Go to parcel,Ir a la parcela
ID Client must be an integer,ID cliente debe ser un numero entero
No fields to show,No hay campos a mostrar
REQUEST A DEMO,SOLICITA UN DEMO
employees,
Back,Regresar
Please add season plans,
SUBMIT,ENVIAR
Usable area:,Área Utilizable:
Additional notes,Notas adicionales
error at insert sales,
Invalid credentials', please', try again,Credenciales invalidas', intenta de nuevo
Invalid notes format,
Assingning season plan to field,Assignando plan de temporada al campo
No blocks available for this field.,No hay bloques disponibles para este campo.
Go to sensor,Ir al sensor
Category,Categoría
Name of the role,Nombre del rol
Invalid phone,Formato telefónico inválido
projection,proyección
Crop saved successfully,Cultivos guardadas satisfactoriamente
PurchaseOrder was paid,
Support,Soporte
Invalid externalID format,Formato de identificador externo invalido
crop classes,clasificacines de cultivo
Crops and field plans,Planes y cultivos
Grass cutting,Corte de hierba
e.i. Arizona,ej. Guanajuato
Yield unit,Unidad de rendimiento
e.i contact@mcgregor.com,
View scouting reports,
Status,Estatus
Type your State,Ingresa tu estado
Invalid quantity format,Formato de cantidad invalido
User settings updated,Actualización configuración de usuario
Fields,Campo
Click to continue drawing perimeter,Da click para continuar dibujando el perímetro
cool !!,
Processing purchase,Procesando nueva compra
Block,Parcela
The export process has struggle.,El proceso de exportar fallo
Show topographic charts at this point,Mostrar cartas topográficas en este punto
Holes in soil,Agujeros en suelo
Account book ,Libro contable
New purchase added,Nueva compra
In progress,En progreso
Progress unit per land area unit,Unidad de progreso por unidad de área de tierra
e.i. John Smith,ej. Jaime Gomez
the order can''t be saved somethong goes wrone,
equipments,
Project settings updated,Actualización de configuración del proyecto
Invalid last name format,Formato de segundo nombre invalido
No jobs founded,No se encontraron trabajos
e.i. Phoenix,ej. Guanajuato
No ortophotos available,Ortofotos no disponibles
No topographic charts found,No se han encontrado cartas topográficas
No records found ,
End date,Fecha de término
Elevation profile,
All Activity,Todas las actividades
Invalid email format,Formato de correo electrónico invalido
e.i. +1 480-7777-777,ej. 56452589
sale doesn''t exist,
No records found.,Sin registros
Non existence available,Sin existencias
Bad request,Petición errónea
Video,
Type the email,Ingresa el email
Getting and drawing perimeters,Dibujando perímetros
Dryness,Sequedad
Assign season plan,Asignar plan de temporada
Buyers,Clientes
New Purchase Order,Nueva compra
Error saving user settings', please try again later.,Error al guardar la configuración del usuario', por favor intente de nuevo.
Type warehouse contact name,Ingresa el nombre de contacto de almacén
No employees added,Ningun empleado agregado
Loading topographical chart,Cargando capas topográficas
Type the cost per hour,Ingresa el costo por hora
Order can be paid,
update has an error,
e.i. Australia,e.j. México
Edit crop details,Editar detalles de cultivos
Crop type,Tipo de cultivo
SAVE AND APPLY CHANGES,GUARDAR Y APLICAR CAMBIOS
Export Activities,Exportar actividades
Production and current existences,Producción y existencias
Thank you for your interest in Aedrotec', we will contact you soon.,Gracias por tu interes en Aedrotec', Te contactaremos en breve
Opening Hours:,Horario de apertura:
No account records for this book.,Sin registros
SSN,SSN
Something is wrong', please try again,Algo anda mal', por favor intente de nuevo
Box parameter is invalid,
Order doesn''t exist,La orden no existe
File can''t be processed,Archivo no pudo ser procesado
Segment,Segmento
No jobs found for this field,Ningun trabajo encontrado para este campo
non existence,
CROPS,CULTIVO
Cannot load crops. Try again.,No se pudieron cargar los cultivos. Intenta más tarde
Invalid Crop Class,Clase de cosecha invalida
e.i: WH-02A,ej. WH-02A
Batch,Lote
No products were required for this task,Ningun producto fue necesario para esta tarea
Add Product,Agregar Insumo
Yields,Cosecha
JobSubTypes,
CANCEL,CANCELAR
Invalid tax format,Formato del inpuesto inválido
Grass cutting required,Corte de hierba requerido
HELP TITLE,
Last month,Mes pasado
Crop classes,Clasificación de cultivo
Invalid invoice format,
Email*,Correo electrónico*
Cabo,
Invalid firstname format,Formato de nombre invalido
Email:,Correo electrónico:
Field work costs,Costos operativos
Existence,Existencia
Financials,Finanzas
3CAB01,
Delete perimeter,Borrar perímetros
3CAB03,
3CAB02,
3CAB04,
3CAB07,
3CAB06,
Equipments catalog,Catalogo de Equipo
3CAB08,
Add a storage loaction and supplies,Agregar ubicación de almacenaje y Proveedores
Assigning activity,Asignando actividad
Field plan completed,Plan de campo terminado
ID Currency must be an integer,ID de moneda debe ser un numero entero
Income,Ingresos
Supplier,Proveedor
Contact us!,¡Contáctanos!
SEE PLANS,VER PLANES
Worked Hours,Horas trabajadas
Finish,Terminar
Field Successfully created,
Schedule,Agenda de trabajo
Add Projection,Agregar proyección
No plans found,No se encontraron planes
Cannot load equipment data,
Employees,Empleados
e.i. Monday to Friday 9 TO 5 PM,ej. L-V de 8:00 a 18:00 hrs.
Invalid season plan name,Nombre del plan de temporada invalido
TOTAL,TOTAL
Subtotal,Subtotal
Select one or more blocks,Seleciona una o mas parcelas
Received,Recibido
Block Name,
e.i: 02A,ej. 02A
insert sale,
Suppliers,Proveedores
Add notes,Agregar notas
SEE FIELD PLAN,VER PLAN DE CAMPO
The record has been save,La orden de compra ha sido confirmada
Edit season plan details,Editar detalles de plan de temporada
invalid token,Token inválido
records,registros
No notifications available,Sin notificaciones por el momento
Path line distance,
No account book selected.,Por favor seleccione un libro contable
Job does not exists,Trabajo no existe
e.i. Victoria,ej. Guanajuato
Cultivation year,Año de cultivación
Select an parcel,Selecciona una parcela
The purchase has been cancel,La orden de compra ha sido eliminada
Included Blocks,Bloques incluídos
NEW CROP,NUEVO CULTIVO
Not employees added,No se han agregado empleados
Error loading employees,
'"'
'"Enter email registered in Agrosuite', we will send an email with the '"'
'"instructions to recovery.,'"'
'"Ingrese el correo electrónico registrado', le enviaremos  las '"'
'"instrucciones para recuperar su contraseña por correo.
Click on an added point to delete it.,Clic en el punto para borrarlo.
Select block,Selecciona parcela
Abbreviation,Abreviación
Please draw a field perimeter,Por favor', dibuja un perímetro
Validation fail,Fallo validación
Invalid internal code,Ingresa el código interno
Coordinates is required.,
SAVE,GUARDAR
Did not find what you need?,¿No encuentras lo que necesitas?
Return to general map,Regresar al mapa general
Subject,Asunto
status,
e.i. 85014,ej. 45256 
Invalid project name,Nombre de proyecto invalido
Invalid contact name,Formato del nombre de contacto inválido
Grid ID is required,Id de cuadrícula es requerido
Project name,Nombre del proyecto
Loading financials...,Cargando Finanzas
Field Supervisors,Supervisores de campo
equipment code or name,
Invalid phone format,Formato telefonico invalido
FAQs,FAQs
Setting,Establecimiento
Jot type:,Tipo de trabajo
Select another point on the map and click it.,Cree un nuevo segmento dando clic en el mapa
Fumigation,Fumigación
Start date,Fecha de inicio
Save,Guardar
Type,Tipo
Field settings,Campos
invalid or missing data,
e.i. IMSS-02-008,ej. IMSS-02-008
Invalid address 1,Formato de direccion inválido
Completed Parcels,Parcelas completadas
EXISTENCE,EXISTENCIA
Planned Start Date,Fecha planeada de inicio
Relative humidity,Humedad relativa
Invalid zipcode,Formato de código postal inválido
Do you really want to remove the field plan _FIELD_PLAN_ from your field?,¿Realmente desea remover el plan de campo _FIELD_PLAN_ de tu campo?
Job,Trabajo
Plague,Plaga
Processing information,Procesando información
Order can be canceled,La orden puede ser cancelada
Successfully synchronized,Sicronización exitosa
SEE JOBS,VER TRABAJOS
Delete last point,Borrar el último punto
Class,Clase
La cañada 3,
Cool,Exito
3CAB05A,
Equipments,Equipos
3CAB05B,
Zipcode: *,Código Postal: *
Field Supervisor:,Supervisor de campo:
Clear and exit measure distance,Limpiar y salir de medición de distancia
'"'
'"Do you want to save it as a paid purchase and register it in the '"'
'"accounting books?,'"'
'"¿Desea guardar la orden de compra como pagada y registrala en el libro de'"'
'" contabilidad?
e.i. Brunswick,ej. Guanajuato
All concepts,Todos los conceptos
Log in,Iniciar sesión
Id Purchase Order missing,
All Job Status,Todos los estatus de trabajo
Username,Nombre de usuario
Volumetric water content,Contenido volumétrico de agua
Type warehouse email,Ingresa el email del almacén
Please add jobs to your season plans,Por favor', agrega trabajos a tu plan de temporada
There are not crops currently,No hay cultivos actualmente
The record has been deleted,El registro ha sido eliminado
file validation pass,Validación exitosa
People,Personas
Your browser does not support HTML5 video.,
Season Plan,Plan de temporada
Invalid position format,Formato del puesto invalido
Type warehouse description,Ingresa la descripción del almacén
No season plans available.,
Blocks assigned:,Parcelas assignadas
Currency,Moneda
Linear distance,Distancia lineal
Select one or more fields,Seleccionar uno o mas campos
Pruning,Poda
External order No,No de orden Externa
e.i. USA,ej. México
Cannot load inventory data,
add transfer order,
Assign Job,Asignar trabajo
Product Categories,Categorías de Producto
The employee does not exists,
e.i: Main Warehouse,ej. Almacén Principal
Detail,Detalle
Position: *,Puesto: *
date,fecha
No blocks selected,No se han selecionado parcelas
JOBS,TRABAJOS
The crop has been terminated successfully,La cosecha ha sido terminada satisfactoriamente
open,Abrir
Error saving season plan', please try again later.,Error al guardar el plan de temporada', por favor intente de nuevo.
Clear all,Borrar todo
Click to draw the field perimeter,Da click para dibujar el perímetro
'"'
'"Do you really want to terminate the season plan _SEASON_PLAN_? If the '"'
'"season plan is terminated all the associated plans will also be '"'
'"terminated,'"'
'"¿Realmente desea terminar el plan de temporada  _SEASON_PLAN_? Si el plan'"'
'" termina todos los planes asociados tambien terminarán
Transportation,Transporte
Wind gust speed,Ráfaga de viento velocidad
Total Amount,Cantidad Total
Field plan,Plan de campo
Remove field plan from field,Eliminar plan del campo
in warehouses,en Almacén
Othophoto mosaic,
Date,Fecha
Showing labor records with pending payment,Mostrando registros de labores pendientes de pago
No data registered on this sensor,
All fields selected,Todos los campos
Search,Buscar
Type the security number,Ingresa el numero de seguridad del empleado
Language,Idioma
Select a block,Seleccionar parcela
Field name,Nombre del campo
Type the descriptions,Ingresa la Descripción
Type details of the warehouse,Ingresa los detalles del almacen
Bugs,Bichos
Go to field,Ir al campo
No,No
External Code,No. de orden externa
CURP: (Identifier),CURP:
Phone: ,Teléfono:
PDF,
Edit crop types,Editar tipo de cultivo
All season plans,Todos los planes de temporada
Code,Código
All Job Types,Todos los tipos de trabajos
Project settings,Configuración
New user successfully created,
no data,
Invalid buyer format,
Mature fruit,Fruta madura
Field ID is required,Id de campo es requerido
Invalid cost format,
Cancel,Cancelar
BOOK RECORDS,REGISTROS
The payroll payment has been succefully registered.,El pago ha sido registrado exitosamente.
SEASON PLANS,PLANES DE TEMPORADA
Loading...,Cargando...
The season plan does not exists,El plan de la temporada no existe
PL-2012,
ID Area unit must be an integer,ID unidad de área debe ser un numero entero
Pay,Pagar
Help and support inputs are required.,
First name: *,Nombre: *
Flood,Inundación
Other,Otro
Type your lastname,Ingresa tu apellido
 Blocks selected.,Parcelas selecionadas
e.i. Accesories / Tractor sower,ej. Accesorios/ Tractor Sembrador
edit job,editar trabajo
RECOVER MY PASSWORD,RECUPERAR MI CONTRASEÑA
'"'
'"Short abbreviation to identify your crops faster', Agrosuite help you to '"'
'"create it.,'"'
'"Abreviación corta para identificar más rapido los cultivos', Agrosuite te '"'
'"ayuda a crearlos.
'"'
'"Recovery password email sent', please', check your email inbox to see the '"'
'"instructions.,'"'
'"Se ha envido por correo las instrucciones para recuperar su contraseña', '"'
'"por favor revise su correo.
Activities,Actividades
Plague control,Control de plagas
Type cultivation year,Ingresa el año de cultivación
Parcel,Parcela
e.i. John,
Invalid lastname format,Formato de apellido invalido
The sum should be equal to the total amount,La suma debe ser igual a la cantidad total
Frost control,Control de heladas
All Field Supervisor,Todos los supervisores
Operation detail,Detalle de operación
Invalid city format,Formato de cuidad inválido
note,nota
Current Feature,Caracteristica actual
'"'
'"A Season Plan is a template that defines a list of jobs', when a season '"'
'"plan is assigned to a field becomes to a Field Plan.,'"'
'"Un plan de temporada es una plantilla que define una lista de trabajos. '"'
'"Cuando un plan de temporada se asigna a un campo', se convierte en un plan'"'
'" de campo.
Save Purchase Order,Guardar compra
Error saving account record.,Ocurrió un error al intentar guardar los registros
Please add,Agrega
e.i. FE54,ej. FE54
Scout Subcategory,Subcategoría de Exploración
Show trajectory,
Name,Nombre
Box is required,
e.i. West Field,e.i. El Tamarindo
No data to display,No hay datos que mostrar
NEW SEASON PLAN,NUEVO PLAN DE TEMPORADA
No blocks assigned,Ningun bloque asignado
Invalid crop class format,
ID Crop must be an integer,ID cultivo debe ser un numero entero
Saving block data...,Guardando 
unvalid username,Nombre de usuario inválido
Admission Date:,Fecha de Admisión:
Number of employees,Número de empleados
Detalles:,
Field Plan,Plan de campo
Projection input type,Tipo de Proyección
Log out,Cerrar sesión
Help and support,Ayuda y soporte
Crop,Cultivo
e.i. TR08,ej. TR08
Cost,Costo
Loading recods...,Cargando datos
FIELDS,CAMPOS
Accounting,Contabilidad
PurchaseOrder couldn''t been registered,
Not available,
No notes added,Ninguna nota agregada
Something goes wrong,Algo salió mal
Loading fields...,Cargando campos...
Last name: *,Apellido: *
Profit,Ganancias
e.i. \tRetail ,ej. Retail
Field supervisor,Supervisor de campo
Help request successfully sent,
Type your first address,Ingresa tu dirección principal
Not started,No iniciado
Role,Rol
Is used for the harvest register and for sales.,Es usado para el registro de cosecha y ventas
Invalid status format,Formato del estatus invalido
Loading page ...,Cargando página
Cancel purchase,Cancelar Compra
Internal Code:,
e.i. Fertilizers compost and pest traps ,ej. Fertilizantes y pesticidas
Balance,Balance
fieldplan detail,
Min: *,
Blocks to assign:,Parcelas a asignar:
Update,Actualizar
International phone*,Teléfono internacional*
Loading agent info,Cargando información de agentes
e.i. Doe,ej. Martínez
Sign in,Iniciar sesión
Type the last cost,Ingresa el ultimo costo
8,
Type the name,Ingresa el nombre
No assign date selected,No se ha seleccionado fecha
Order by,Ordenar por
ID Client does not exists,El identificador del cliente no existe
The sum should be equal 100,La suma debe ser igual al 100
Click on a perimeter to remove,Da click en un perímetro para borrarlo
Select project before.,Seleccione proyecto.
Notes,Notas
missing idFieldPlan,
Loading crops...,Cargando cultivos...
Type the last name,Ingresa el apellido
Soil electric conductivity,Conductividad eléctrica del suelo
No equipment added.,Ningun equipo agregado.
Products,Insumos
Do you want to delete,Deseas eliminar
Successfully initialized,
Usable area,Área usable
Please select Product Unit,Seleciona unidad de producto
FINANCIALS,FINANZAS
The season plan has been terminated successfully,El plan de temporada ha sido terminado satisfactoriamente
delete,
Type your city,Ingresa tu ciudad
Help,Ayuda
Select an equipment,Seleccionar un equipo
e.i. Holt-Wh02,ej. Almacén Principal
Unittest,Prueba unitaria
Progress records,
How to measure?,¿Cómo medir la distancia?
Type warehouse tax Id,Ingresa el id de impuesto del almacén
Expected completion,Termino previsto
From field,Del campo
Job removed from field plan susccessfully,Trabajo ha sido eliminado
e.i. McGregor Fertilizers,ej: Fertilizanctes S.A de C.V
To Warehouse,Hacia Almacén
From Warehouse,Desde Almacén
Invalid data or missing,Información inválida
Block name:,Nombre de Parcela
Select image to upload,Seleciona una imagen
Storage,Almacenamiento
Invalid field format,Formato de campo invalido
PurchaseOrder,Orden de compra
Inventory,Inventario
Request Quantity,Cantidad requerida
Units,Unidades
The field plan does not exists,La planeación de campo no existe
Tracked agents,Rastreo de agentes
Select a field plan Book to see and add records,Seleccione un plan de campo para ver y agregar registros
Phone:,Teléfono:
No fields available for this project.,No hay campos disponibles en este proyecto.
Work Team:,
Plant/Fruit,Planta/Fruta
Type the external order No.,Ingresa No. de orden externa
missing FieldPlan id,
Type a message,Escribe el mensaje
Terminating the season plan,Terminando el plan de temporada
e.i. Herbicides / Herbicide 123,ej. Herbicida / Herbicida 123
Select all,Seleccionar todo
Description: *,Descripción: *
e.i. johnd@hotmail.com,ej. dmartinez@hotmail.com
Company Name: *,Nombre de la Compañía: *
Date completed,Fecha Completada
Invalid name format,Formato del nombre inválido
Post-harvest,Post-cosecha
Email: *,
Assign activity,Asignar actividad
Wind speed,Velocidad del viento
Click on a point to delete it.,
User settings inputs are required.,Datos de configuración del usuario son requeridas.
Select all fields,Selecciona todos los campos
Total area:,Área total:
Drawlayer,Capa de dibujo
buyers,compradores
JobStatus,
Country: *,País: *
Unit:,Unidad
Loading season plans...,Cargando Planes de temporada...
Progress unit,Unidad de progreso
You cannot delete blocks with progress in this job,No puede quitar parcelas que ya tienen progreso en este trabajo
TODAY,HOY
Have an account?,¿Tienes una cuenta?
Operation detail like ticket number', invoices numbers or purchase orders,Detalle de operación como: núm. de ticket', núm. de factura o núm. de orden
Looks good !,Bien
Projection month by month,Proyección mes por mes
Terminating the crop,Terminando la cosecha
Type the role name,Ingresa el nombre del rol
Select supervisor,Selecciona supervisor
hours,horas
Date already selected for this user,
Not all products are avialable,
Loading crops error,Cargando error de cultivos
Unit,Unidad
External order No.,No. orden externa
Harvest Record,Registro de cosecha
Last data,Último dato
Yes,Sí
Cannot load season plans. Try again.,No se pudieron cargar los planes de temporada. Intenta más tarde
Completed,Completado
idEmployee is required,
please', select a project,seleciona un proyecto', por favor
Invalid opening hours,
Date already used for this job,Ya se ha asignado esta fecha para este trabajo
The purchase is now confirm as paid,La orden de compra se ha confirmado como pagada
Temperature,Temperatura
All Activity status,Todas los estatus de actividad
Totals,Con Total
Inventory catalog,Catalogo de inventario
Sales unit,Unidades de venta
Assigning season plan to field,
Success!,¡Operación Exitosa!
Click on another point on the map to create a segment.,
Invalid security number format,Formato del numero se seguridad invalido
Rows per page,Registros por página
'"'
'"Do you really want to complete the field plan _FIELD_PLAN_? If the field '"'
'"plan is completed all the associated jobs will also be mark as complete,'"'
'"¿Realmente desea completar el plan de campo  _FIELD_PLAN_? Si el plan '"'
'"termina todos los trabajos asociados tambien se marcaran como completados
The field plan was unassigned successfully,El plan de campo fue deasignado satisfactoriamente
Forgot your password?,¿Olvidaste tu contraseña?
Pending,Pendiente
Success! Sales has been inserted,Excito! Las ventas se han insertado
Invalid project,
Only letters are accepted,Únicamente se aceptan letras.
Elevation,Elevación
Successfully assigned season plan,Plan de temporada asignado con éxito.
Dashboard/Activity Overview,Dashboard/Resumen de actividades
Paid,Pagado
New Password,Contraseña
Activity Status,Estatus de actividad
Add the feature content,Agrega el contenido caracteristico
Type description,Ingresa la descripción
Mark as paid,Marcar como pagado
Type the phone,Ingresa el telefono del empleado
Code:,Código:
Work Team,Equipos de trabajo
Code: *,Código: *
e.i. 12-3456789,ej. WME4394990
Precipitation (today),Precipitación (hoy)
Weather,Clima
Message,Mensaje
First Address: *,Dirección: *
Job Status,Estatus de trabajo
Crop Class,Clasificación de cultivo
e.i. notes,
Contact name:,
Add an equipment,Agregar un equipo
No equipments were required for this task,Ningun equipo fue requerido para esta tarea
Open topographic chart,Abrir carta topográfica
Number of hectares,Número de Hectáreas
Irrigation,Riego
The sale is now confirm as paid,La venta esta confirmada como pagada
Create new job,Crear nuevo trabajo
Field,Campo
Error loading tracked agent,Error cargando información de agente
Select all Fields,
Invalid field plan format,
Sales,Ventas
Season Plan saved successfully,Plan de temporada guardado exitosamente.
Cannot load activity', some data are corrupt.,
e.i. 12 perfect green limes of 150 g per net.,ej. Limón Italiano', LM', 2010', árbol', Kg', 100 arboles/hectarea
Min must be a number,
The employee is not tracked,
Invoice,Factura
error,
Notes:,Notas:
Error saving project settings', please try again later.,Error al salvar los ajustes del proyecto', por favor intente de nuevo.
Invalid labor progresses', please', vefiry them again.,
Purchase Orders,Órdenes de compra
There are not season plans currently,No hay planes de temporada actualmente
City,Ciudad
From Field Plan,Del campo
e.i. N+P in 2mg pieces,
e.i. 555 777 7777,ej. 555 777 7777
Warehouses,Almacenes
Type the code,Ingresa el código
Select All,Seleccionar todo
Select blocks,Seleccionar parcelas
invalid or missing data something goes wrone,
LOGIN,INICIAR SESIÓN
Type a name for your project,
Settings apply to all users and fields in this project.,La configuración aplica a todos los usuarios y campos de este proyecto
Product,Insumo
Please review available quantity product,Por favor revisa la disponibilidad de producto
cannot delete notification,
e.i. Tractor XL-34,ej. Tractor XL-34
Lastname,Apellido
missing employees list,
Extraordinary,Extraordinario
inventory,
Address,Dirección
Is used to specify the progress of your labor in the field.,Es usada para indicar el progreso de la mano de obra en el cultivo
products,
Expected Start,Expectativa de inicio
Zoom level is required,
Error saving Job', please try again later.,Error al guardar el trabajo', por favor intente de nuevo.
Name to identify your Season Plan.,Nombre que identifica tu plan de temporada
No product found,ningun producto asignado
Assing season plan,
Season Plan assinged successfully,Plan de temporada asignado satisfactoriamente
Ortophotos,Ortofotos
Mark as complete,Marcar como completado
3CAB13,
Activity,Actividad
All Fields,Todos los campos
Email input is required.,Email es requerido
Fungy,Hongo
Accumulated Cost,Costo acumulado
e.i: McGregor Fertilizers,ej: Fertilizanctes S.A de C.V.
Invalid description,Formato de descripción inválido
Firstname,Nombre
Loading layer,Cargando capa
Add job,Agregar trabajo
Max: *,
3CAB09A,
Other employees,Otros empleados
3CAB09B,
Last collection data,Últimos datos
Equipment Categories,Categorías de Equipo
Could not get currency information', please try again,'"'
'"No se pudo obtener la información de la moneda', por favor intente más '"'
'"tarde
General,General
ID Area unit does not exists,El identificador de la unidad de área no existe
State: *,Estado: *
No positions found for that interval,
Virtual Existence,Existencia Virtual
Name to identify your crop.,Nombre que identifica tu cultivo
Total,Total
Tools,Herramientas
Inventory Storage Location,Localización del almacenaje del inventario
products are missing,Faltan productos
City or Province: *,Ciudad: *
Start:,Inicio:
transfer order products can''t be saved,
Topographical Chart,
No jobs added,Trabajos no agregados
cannot set notification as open,
Error loading orthophoto,
No sensors on this field,No hay sensores en este campo
No employees were required for this task,Ningun empleado fue requerido para esta tarea
Couldn''t get distances for this segment,No se puede obtener la medida del segmento
Type a note,Ingresa una nota
No layers available,No hay capas disponibles
No perimeters to delete,No hay perímetros para borrar
Type warehouse phone,Ingresa el teléfono del almacén
e.i. Affinity,ej. Fertilizante Affinity
New supervisor,Nuevo supervisor
User edition,Edición del usuario
Jobs,Trabajos
TO,A
Report payment,REPORTE DE PAGO
All segments,Todos los segmentos
Confirm Reception,Confirmar recepción
fieldplan doesn''t exist,
Total amount or worked hours are not consistent with your sent data.,'"'
'"La cantidad total o las horas trabajadas no son consistentes con los '"'
'"datos.
Equipment Category:,Categoría del Equipo:
Invalid email,Formato de correo electrónico inválido
No equipment found,Ningun equipo asignado
e.i. Team 1,ej. Equipo 1
Ok,Listo
Success creating field perimeter,Éxito creando el perímetro
read,Leer
'"'
'"Do you want to save it as a paid Sale and register it in the accounting '"'
'"books?,'"'
'"¿Realmente deseas marcar como venta pagada y registrar en los libros de '"'
'"contabilidad?
Error loading account records.,Ocurrió un error al intentar cargar los registros
No crops found,No se encontraron cultivos
Purchase Order,Orden de compra
error at update sales,
e.i. John Deere mod.4534XL Diesel 4X4,ej. mod.4534XL Diesel 4x4
Recieved Quantity,Cantidad recibida
Field:,Campo:
an error has occurred,Ha ocurrido un error
Position,Puesto
Export account records,Exportar
Wind,Viento
name,
notification has been pushed,La notificación ha sido enviada
Password,Contraseña
Click first point to close this perimeter,Da click en el primer punto para cerrar el perímetro
Grids,Cuadrículas
success,Éxito
All Sales,Todas las ventas
Cost per unit,Costo por unidad
message,Mensaje
Description is required,
Save job,Guardar trabajo
Date range,Rango de fechas
Loading season plan error,Error en la carga del plan de temporada
Select the date of the employee admission,Seleccione una fecha de alta del empleado
Invalid state,Fomato de estado inválido
Successfully terminated field plan,
Layers,Capas
No grids available,No hay cuadrículas disponibles
Contact Name:,Nombre del contacto:
Error assigning season plan,Error a asginar el plan de temporada
Confirm,Confirmar
Invalid project or fields,Proyectos o campos invalido
Invalid code format,Formato del código invalido
3CAB10,
Job:,Trabajo:
Processing information.,Procesando información
All,Todos
3CAB11,
Employee,Empleado
Employee Status,Estatus de empleado
e.i johnsmith@walmart.com,ej. jaimego@walmart.com
Email,Correo electrónico
Polyline is required.,
Sowing,Siembra
Something was wrong. Please review the information and try again latter.,Algo ocurrió.Por favor', revisa la information e intenta más tarde
Product Category,Categoría de producto
Assign Date,Asigna fecha
No season plans found,No se encontraron planes
Job saved successfully,Trabajo guardado exitosamente.
Success! Harvest Record has been inserted,El registro de cosecha ha sido insertado exitosamente.
ID Crop does not exists,El identificador del cultivo no existe
There are no outstanding labor records for this field plan,No hay registros extraordinarios de labores para esta plan de campo
